#{"t_start": 1608296931.5065482, "env_id": null}
r,l,t,score,ghosts,level,win,d,map
390.5,737,16.905781,541,4,1,0,0,data/map1.bmp
924.5,330,21.822357,975,4,1,1,0,data/map1.bmp
806,265,25.240706,806,1,1,1,0,data/map2.bmp
743.5,326,29.298701,794,4,0,1,0,data/map2.bmp
824.5,333,33.833752,825,1,1,1,0,data/map1.bmp
828.0,310,37.928799,879,4,1,1,0,data/map1.bmp
757,261,41.676219,757,1,1,1,0,data/map2.bmp
852.0,390,46.787175,863,1,1,1,0,data/map1.bmp
810,247,49.613627,810,2,1,1,0,data/map2.bmp
969,362,54.49993,969,2,2,1,0,data/map1.bmp
338.0,386,59.82445,490,4,2,0,0,data/map1.bmp
188.5,347,64.566993,341,4,1,0,0,data/map2.bmp
624.5,345,69.305399,740,4,0,1,0,data/map2.bmp
794.0,301,73.072419,849,4,1,1,0,data/map2.bmp
789,264,76.539072,839,1,1,1,0,data/map1.bmp
683.0,373,81.508294,735,4,2,1,0,data/map2.bmp
194.5,294,85.40739,350,4,1,0,0,data/map2.bmp
151.0,292,89.667979,306,4,1,0,0,data/map2.bmp
99.5,291,93.457237,250,4,1,0,0,data/map2.bmp
52.5,279,97.180646,203,4,2,0,0,data/map2.bmp
751.5,281,100.981668,803,4,0,1,0,data/map2.bmp
724.5,334,105.717232,775,4,0,1,0,data/map1.bmp
749,301,109.645145,749,4,0,1,0,data/map2.bmp
760,248,112.831643,760,1,1,1,0,data/map2.bmp
37.0,218,115.92948,189,4,2,0,0,data/map2.bmp
778.5,286,119.70438,784,1,1,1,0,data/map1.bmp
317.5,273,123.50704,470,4,2,0,0,data/map1.bmp
538.0,416,129.515759,690,4,2,0,0,data/map1.bmp
487,341,133.573672,637,4,2,0,0,data/map1.bmp
853,284,137.286155,853,4,2,1,0,data/map2.bmp
477.0,319,141.94133,628,4,2,0,0,data/map1.bmp
759,252,145.182433,759,1,1,1,0,data/map2.bmp
435.0,360,150.338701,587,4,2,0,0,data/map1.bmp
758,256,153.689791,758,2,1,1,0,data/map2.bmp
922,349,158.078014,972,2,2,1,0,data/map1.bmp
790.0,291,162.258591,851,4,1,1,0,data/map2.bmp
880.5,304,166.344988,931,4,1,1,0,data/map1.bmp
808,258,169.806306,808,4,0,1,0,data/map2.bmp
50.5,307,173.711116,201,4,1,0,0,data/map2.bmp
880,309,178.05699,880,1,1,1,0,data/map1.bmp
874.5,332,182.231641,925,2,2,1,0,data/map1.bmp
653,280,186.139734,753,1,1,1,0,data/map2.bmp
920.5,351,190.258255,971,2,2,1,0,data/map1.bmp
776.5,313,194.828819,879,4,1,1,0,data/map1.bmp
752.5,278,198.480533,804,4,2,1,0,data/map2.bmp
1163.5,383,203.865371,1215,4,2,1,0,data/map1.bmp
760.5,402,209.325222,811,4,0,1,0,data/map1.bmp
901.0,285,212.953369,902,2,1,1,0,data/map2.bmp
885,282,217.066015,885,1,1,1,0,data/map1.bmp
103.5,314,221.061696,257,4,2,0,0,data/map2.bmp
751.0,270,224.527844,755,2,1,1,0,data/map2.bmp
897,310,228.922644,897,4,1,1,0,data/map2.bmp
968.0,338,233.27876,1024,2,2,1,0,data/map1.bmp
751.5,261,236.557691,757,1,1,1,0,data/map2.bmp
1014.5,381,241.776779,1015,2,2,1,0,data/map1.bmp
640.5,312,246.205892,747,4,0,1,0,data/map2.bmp
742.5,313,250.011695,747,1,1,1,0,data/map2.bmp
851.0,285,253.677973,902,4,2,1,0,data/map2.bmp
1068.0,345,258.620118,1072,4,2,1,0,data/map1.bmp
822.5,315,262.578572,846,2,1,1,0,data/map2.bmp
871.0,335,267.347989,874,4,0,1,0,data/map1.bmp
786,277,270.970227,786,1,1,1,0,data/map1.bmp
963.5,386,276.269512,1064,4,2,1,0,data/map1.bmp
706.5,557,283.612321,848,1,1,1,0,data/map2.bmp
677.0,327,287.564233,744,1,1,1,0,data/map2.bmp
654,275,291.204257,754,4,0,1,0,data/map2.bmp
717.5,367,295.909538,786,1,1,1,0,data/map2.bmp
700.0,287,299.65035,752,4,0,1,0,data/map2.bmp
916.0,365,304.713224,1018,4,2,1,0,data/map1.bmp
758,258,307.988282,758,1,1,1,0,data/map2.bmp
915.5,361,312.825453,919,2,2,1,0,data/map1.bmp
