TrainStep,MeanScore,StdScore,MaxScore,MinScore,MeanReturn,StdReturn,MaxReturn,MinReturn,MeanLength,StdLength,MaxLength,MinLength,Wins,EvalEpisodes,EvalIdleStepsMean,EvalIdleEps,EvalGhostsMean,EvalLevelMean,EvalTime,TrainGhostsMean,TrainLevelMean
500000,  751.3,  219.9,1125, 203,  674.4,  257.7, 1073.5,   52.0,  328.0,   75.0, 768, 148,  79, 105,    7.2,73,    3.0,    1.1,0:05:39,    3.0,    1.1
1000000,  782.8,  224.2,1162, 194,  736.1,  263.8, 1119.5,   42.0,  317.1,   56.9, 531, 151,  89, 105,    3.0,66,    3.0,    1.1,0:05:29,    3.0,    1.1
1500000,  715.9,  230.7,1123, 172,  641.2,  272.2, 1072.0,   19.5,  329.8,   70.8, 661, 116,  79, 105,    8.3,86,    3.0,    1.1,0:05:40,    3.0,    1.1
2000000,  722.4,  245.7,1259, 204,  650.6,  293.9, 1154.5,   43.0,  316.4,   57.6, 542, 190,  77, 105,   10.2,93,    3.0,    1.1,0:05:26,    3.0,    1.1
2500000,  708.8,  255.9,1112,  78,  612.0,  309.5, 1059.5, -194.5,  351.3,   95.7,1094, 198,  75, 105,   46.1,98,    3.0,    1.1,0:06:06,    3.0,    1.1
3000000,  828.3,  151.4,1271, 259,  789.5,  174.4, 1167.5,  109.0,  324.8,   75.4, 863, 240,  96, 105,    1.4,44,    3.0,    1.1,0:05:38,    3.0,    1.1
3500000,  763.3,  182.4,1170, 228,  707.9,  221.1, 1120.0,   77.0,  318.2,   63.7, 511, 171,  87, 105,    8.9,77,    3.0,    1.1,0:05:28,    3.1,    1.1
4000000,  804.6,  192.7,1133, 209,  748.5,  225.4, 1127.5,   48.0,  339.0,   74.5, 807, 215,  92, 105,    7.5,73,    3.0,    1.1,0:05:49,    3.0,    1.1
4500000,  781.9,  214.1,1219, 206,  734.4,  252.9, 1167.0,   56.0,  307.5,   45.7, 425, 238,  88, 105,    2.5,48,    3.0,    1.1,0:05:18,    3.0,    1.1
4999936,  766.3,  228.6,1316, 200,  700.2,  261.9, 1211.5,   50.0,  319.9,   92.3,1043, 161,  85, 105,    4.6,72,    3.0,    1.1,0:05:31,    3.0,    1.1
