TrainStep,MeanReward,StdReward,MaxReward,MinReward,MeanEpLength,StdEpLength,EvaluationTime,EvaluationEpisodes
100000,79.6,15.263465,124.0,12.0,241.93333333333334,204.5000298831817,0:00:45,30
200000,130.1,18.226994,185.0,91.0,377.9,276.0751528116936,0:01:10,30
300000,151.86667,32.65347,221.0,88.0,341.23333333333335,346.52259987224824,0:01:02,30
400000,105.73333,23.518692,130.0,22.0,306.93333333333334,191.5746909751448,0:00:57,30
500000,102.96667,38.252216,199.0,71.0,309.0,189.98806980088688,0:00:59,30
600000,139.4,32.748127,231.0,79.0,670.3,841.5981681697427,0:02:05,30
700000,152.73334,87.4593,316.0,1.0,246.5,209.7792093289196,0:00:47,30
800000,193.03334,69.20187,315.0,79.0,481.8,461.05534013463796,0:01:31,30
900000,200.26666,71.79458,322.0,85.0,369.56666666666666,249.7055176714274,0:01:08,30
1000000,179.2,38.47718,259.0,135.0,239.06666666666666,150.19874241225267,0:00:44,30
