#{"t_start": 1588729871.6657398, "env_id": null}
r,l,t
3,12,11.840211
33,133,13.029701
2,29,13.277474
1,38,13.601968
3,12,13.707683
2,13,13.8189
5,23,14.013566
0,9,14.095394
2,13,14.203239
30,189,15.812691
0,5,15.859787
0,5,15.907101
1,7,15.973212
3,18,16.127871
3,14,16.244658
38,186,17.745026
5,31,18.064662
3,19,18.258234
1,31,18.589578
1,5,18.639546
29,159,20.238005
0,7,20.31156
1,9,20.399995
1,7,20.479418
0,44,22.5054
9,35,24.610739
1,8,25.113826
3,23,26.571379
0,13,27.384005
22,271,43.80911
1,14,44.611724
8,100,50.628985
5,90,56.064786
1,6,56.467942
14,70,60.69953
25,352,82.278144
2,14,83.125018
12,54,86.412079
3,6,86.749052
1,38,88.998895
4,15,89.936392
1,13,90.804792
2,11,91.492485
9,72,95.858429
1,3,96.04488
3,13,96.829683
43,546,130.488022
0,9,131.045037
19,108,137.556717
0,14,138.502037
3,62,142.201144
29,197,154.362613
1,62,158.28036
0,11,158.930641
0,7,159.351023
7,39,161.795124
2,6,162.168847
8,123,170.040097
8,36,172.395875
3,5,172.726303
28,276,189.781416
3,28,191.550146
0,24,193.039718
40,297,211.318429
1,6,211.697467
2,9,212.261721
1,12,212.98592
12,82,217.9741
1,3,218.187599
1,23,219.624381
3,23,221.083364
37,294,239.840571
4,35,241.996905
5,75,246.56286
108,324,266.465571
1,50,269.596594
20,434,296.446392
1,9,296.996008
3,177,308.026235
3,133,316.069468
3,19,317.183112
11,34,319.217919
2,4,319.443114
1,32,321.423473
3,34,323.442368
9,15,324.35714
16,112,331.054761
4,29,332.887036
64,527,365.142658
0,39,367.447674
17,245,381.978868
0,5,382.289559
11,104,388.448033
1,11,389.10295
0,10,389.68644
0,22,390.999487
0,7,391.413727
0,37,393.610117
1,9,394.141518
3,19,395.282805
2,5,395.581734
41,457,423.028841
0,7,423.461547
0,11,424.115868
32,139,432.409034
1,9,432.952761
0,26,434.475974
5,40,436.831096
3,9,437.360715
8,14,438.168758
44,266,454.136068
3,9,454.672583
2,12,455.40535
10,39,457.692451
0,12,458.43022
0,9,458.953558
5,23,460.32952
1,10,460.950063
3,9,461.483767
8,29,463.214173
4,16,464.174446
6,22,465.477952
2,9,466.000801
6,21,467.226124
3,26,468.75084
2,74,473.323754
4,9,473.873551
1,25,475.388655
2,55,478.79406
2,18,480.008873
2,13,480.786287
11,79,485.708316
30,197,498.044361
5,26,499.712576
18,112,506.482374
2,5,506.777305
9,46,509.699543
3,7,510.156276
4,21,511.569702
0,10,512.216394
1,8,512.746672
11,174,523.628776
1,22,524.998289
4,26,526.579136
4,32,528.429862
4,26,529.999171
4,24,531.441636
55,259,547.556884
1,9,548.120652
23,85,553.32428
47,243,567.849677
9,88,572.974869
0,11,573.626473
91,1013,634.333981
1,14,635.172288
5,15,636.045492
38,454,663.256472
1,10,663.839899
2,27,665.485986
8,34,667.653929
12,122,675.472236
7,46,678.247796
0,10,678.830101
23,104,685.397357
5,27,687.051667
1,9,687.65934
5,15,688.58937
2,8,689.121702
34,168,699.479773
5,13,700.315219
2,22,701.671445
1,17,702.675981
22,170,712.838624
2,7,713.252621
0,12,713.973144
3,11,714.640202
0,15,715.563574
0,9,716.096422
0,10,716.735753
7,44,719.384804
1,14,720.232167
9,27,721.904923
3,10,722.533036
5,18,723.600538
10,17,724.649306
0,11,725.302909
3,5,725.599695
9,61,729.273525
1,14,730.138679
0,16,731.214023
9,113,738.149493
2,7,738.555635
7,81,743.542784
1,31,745.386476
12,40,747.824554
1,5,748.117416
1,7,748.523946
4,21,749.795013
3,10,750.377425
1,10,750.985215
2,9,751.521394
12,102,757.897626
7,13,758.699579
113,1497,850.440821
15,75,855.040951
10,25,856.671755
8,12,857.492651
4,37,859.890205
1,19,861.081851
1,26,862.825747
0,8,863.357936
4,12,864.121538
3,6,864.532135
1,16,865.556503
35,283,883.197393
22,167,893.311403
9,25,894.810501
8,27,896.45616
34,381,919.977757
4,11,920.659534
2,8,921.151435
7,14,922.020058
0,13,922.802628
2,9,923.376346
31,272,940.414145
1,8,940.912949
6,27,942.579143
1,42,945.15637
1,5,945.476538
51,445,972.69827
4,24,974.197692
1,10,974.821121
12,39,977.287055
45,352,998.934594
76,501,1029.835413
87,1018,1092.343428
11,56,1095.760799
1,5,1096.098636
0,15,1097.022383
2,11,1097.716203
2,29,1099.489769
1,6,1099.876438
48,543,1133.16724
11,68,1137.314744
8,50,1140.359421
3,8,1140.84609
67,709,1184.156289
8,41,1186.851965
4,24,1188.37387
1,24,1189.853514
54,340,1210.876454
2,8,1211.361828
2,12,1212.078518
45,384,1235.605747
43,276,1252.793082
6,33,1254.721172
0,27,1256.427296
2,15,1257.401837
1,10,1258.055504
8,51,1261.109427
0,19,1262.287432
1,10,1262.879859
42,185,1273.919618
0,15,1274.787712
2,8,1275.299905
4,16,1276.266785
5,23,1277.730406
23,83,1282.961779
17,157,1292.559556
4,40,1295.013989
42,374,1318.110869
64,452,1345.41064
0,8,1345.878554
7,29,1347.680903
23,120,1355.047874
6,29,1356.761422
1,10,1357.351707
5,45,1360.071657
25,141,1368.557054
9,106,1375.022733
41,257,1390.428857
8,25,1392.101295
37,279,1409.247333
0,6,1409.626908
4,62,1413.350452
7,14,1414.212352
28,462,1441.849087
1,38,1444.121883
1,7,1444.556863
6,15,1445.494286
3,20,1446.684795
7,18,1447.773684
0,52,1451.020678
3,73,1455.596246
2,19,1456.751082
10,53,1459.956273
4,31,1461.820968
1,21,1463.072674
3,10,1463.668686
70,407,1487.867865
1,7,1488.292419
0,12,1489.005602
2,9,1489.585093
2,6,1489.948146
1,14,1490.742878
9,368,1513.01561
5,37,1515.170636
14,89,1520.388633
4,29,1522.149691
8,34,1524.176346
1,15,1525.092011
5,33,1527.066973
1,10,1527.657037
1,8,1528.127889
0,30,1530.005333
23,71,1534.334217
1,11,1535.063339
1,11,1535.76152
1,15,1536.719338
4,12,1537.420429
30,299,1555.637447
3,12,1556.35121
26,94,1562.148938
6,28,1563.826032
2,78,1568.756775
5,35,1570.871976
1,11,1571.552311
2,88,1577.109641
7,32,1579.096305
5,58,1582.608962
0,9,1583.161861
27,185,1594.641495
1,9,1595.189317
44,375,1618.241958
4,33,1620.266673
1,11,1620.942919
2,9,1621.506708
71,539,1655.095371
1,10,1655.738831
4,13,1656.541671
1,11,1657.211716
73,927,1714.068392
9,79,1718.986511
4,10,1719.600483
7,14,1720.419963
8,30,1722.297107
1,9,1722.863029
60,417,1748.278651
70,418,1773.625102
4,15,1774.58692
4,44,1777.272149
37,251,1792.898751
38,413,1818.056799
2,10,1818.652809
8,28,1820.402127
64,393,1844.641865
80,542,1877.700969
4,17,1878.763615
4,52,1881.856431
98,647,1922.059164
61,498,1952.512628
3,8,1952.989828
6,18,1954.109035
57,544,1987.675882
2,8,1988.190563
9,32,1990.156137
10,142,1998.735687
52,204,2011.088464
79,409,2036.27003
1,5,2036.589356
72,65,2040.525186
4,70,2044.806151
41,390,2069.37322
7,21,2070.676605
35,232,2085.166907
25,136,2093.539681
5,15,2094.463623
45,181,2105.71102
2,16,2106.708457
0,39,2109.114557
79,663,2149.645371
36,160,2159.473757
10,69,2163.812473
30,130,2171.833082
8,18,2172.904419
63,485,2202.83998
11,32,2204.772858
1,12,2205.485839
48,172,2215.866034
4,13,2216.659749
75,309,2235.392239
1,13,2236.228356
6,26,2237.820753
1,9,2238.340039
71,197,2250.265065
64,275,2266.671523
9,16,2267.670175
6,30,2269.459113
16,125,2277.122912
73,391,2300.615054
1,5,2300.90966
0,22,2302.307988
53,253,2317.324942
2,14,2318.153696
7,52,2321.344393
5,11,2322.044214
1,12,2322.78445
32,176,2333.860972
3,17,2334.947937
0,10,2335.544574
1,14,2336.413881
38,276,2354.087335
1,17,2355.101497
8,15,2356.008562
2,9,2356.548273
4,10,2357.156101
10,50,2360.080281
2,15,2360.93439
2,7,2361.35216
3,9,2361.898762
2,14,2362.794073
47,138,2371.184366
93,723,2414.129241
78,1103,2482.123045
8,63,2486.006038
2,7,2486.467099
33,337,2507.222326
29,133,2515.469706
0,10,2516.099475
5,33,2518.077445
1,9,2518.597912
2,7,2519.017751
2,22,2520.347373
0,11,2521.019862
10,43,2523.761881
3,28,2525.627998
60,500,2556.621091
81,539,2590.123449
48,325,2610.13998
51,141,2618.792057
2,12,2619.495814
24,135,2627.509935
17,94,2633.079204
60,227,2646.508918
60,174,2656.980721
65,268,2672.943082
4,20,2674.16567
44,428,2700.354957
1,12,2701.064996
1,10,2701.672408
3,8,2702.159637
3,11,2702.816437
5,49,2705.820987
1,11,2706.50644
4,10,2707.119862
4,18,2708.222615
5,11,2708.917089
59,716,2752.220237
5,15,2753.139437
5,12,2753.887895
43,299,2771.896281
88,485,2801.88168
0,14,2802.763408
5,17,2803.835952
62,645,2843.655784
5,8,2844.163461
60,530,2877.556559
43,83,2882.692243
4,9,2883.214718
8,24,2884.738666
2,6,2885.119411
45,292,2903.088957
0,12,2903.820793
44,99,2909.848546
62,336,2930.434291
19,108,2937.008543
8,13,2937.85971
5,33,2939.865212
29,115,2946.682238
56,281,2964.065344
92,816,3014.42486
41,78,3019.368152
0,9,3019.905503
62,394,3044.066729
10,19,3045.257945
2,15,3046.220244
1,11,3046.893103
54,119,3054.228251
105,549,3087.587965
64,252,3102.988685
61,234,3117.316966
66,393,3141.290072
50,144,3149.944757
68,226,3164.153865
34,113,3171.228713
124,831,3222.863978
50,177,3234.102125
25,374,3257.069876
52,585,3293.020114
9,41,3295.549729
60,233,3309.710331
3,16,3310.730072
50,226,3324.773729
1,7,3325.213448
4,8,3325.746274
5,19,3326.926302
3,16,3327.922165
53,117,3335.052165
38,99,3341.163449
5,57,3344.658823
1,12,3345.411716
23,87,3350.849018
9,58,3354.424656
0,11,3355.075085
38,164,3365.671468
9,76,3370.541252
57,505,3401.476452
15,160,3411.301799
10,34,3413.372349
63,300,3431.579189
1,20,3432.751069
47,229,3446.862557
26,102,3453.075621
73,182,3463.938548
0,8,3464.409319
18,64,3468.28282
46,93,3473.814931
41,154,3482.93606
10,58,3486.412514
2,9,3486.964019
4,9,3487.579312
72,401,3512.467833
34,104,3518.870308
44,103,3525.126948
11,42,3527.643178
3,20,3528.857935
68,298,3546.914305
5,13,3547.698527
4,26,3549.251473
8,11,3549.930838
34,143,3558.781262
8,25,3560.294708
54,167,3570.442563
7,22,3571.82733
41,276,3588.80602
8,16,3589.737578
56,352,3611.2413
34,151,3620.428549
3,8,3620.908927
5,17,3621.905033
9,40,3624.340375
55,158,3634.001222
3,16,3635.030472
47,174,3645.919588
9,27,3647.635469
53,177,3658.611302
5,22,3660.007248
60,155,3669.509528
71,230,3683.565826
9,21,3684.788519
12,47,3687.706024
4,13,3688.532998
10,29,3690.236984
2,25,3691.799464
82,395,3716.251374
5,10,3716.873049
8,25,3718.373753
5,22,3719.710655
4,10,3720.338776
1,11,3720.985773
56,134,3729.271572
55,124,3736.947057
57,147,3745.784667
12,70,3750.104717
5,25,3751.637848
51,124,3759.169004
47,75,3763.740526
6,21,3765.111333
12,43,3767.878952
4,20,3769.207233
55,170,3780.023203
5,10,3780.69534
7,17,3781.718155
5,53,3784.942755
95,1229,3858.868654
8,37,3861.038063
5,25,3862.543134
4,11,3863.178356
8,14,3864.08478
8,29,3865.824315
9,122,3873.076428
11,146,3881.946888
101,639,3920.717501
4,7,3921.135503
13,52,3924.413467
6,30,3926.217561
58,245,3940.876302
7,24,3942.347015
51,171,3952.680694
6,13,3953.456116
5,13,3954.234848
7,30,3956.035157
4,15,3956.991553
5,35,3959.083015
6,22,3960.379065
42,153,3969.663288
5,77,3974.436629
86,316,3993.625158
4,31,3995.484378
72,194,4007.281505
4,37,4009.511693
9,15,4010.442188
74,298,4028.838068
73,196,4040.8551
12,55,4044.174049
5,32,4046.046379
75,281,4062.896438
8,64,4066.759198
5,262,4082.536797
10,47,4085.335412
60,268,4101.33286
3,20,4102.490567
52,243,4117.051421
60,391,4140.725669
55,238,4155.812093
54,130,4163.802442
10,86,4168.837909
44,135,4176.990697
1,36,4179.127264
73,362,4201.307938
9,14,4202.186395
11,25,4203.74309
4,12,4204.501766
61,296,4222.872387
50,221,4236.365872
8,54,4239.68973
80,353,4261.0418
7,53,4264.344877
58,253,4279.919222
1,12,4280.656979
51,171,4291.176671
4,28,4292.950835
55,260,4308.96476
10,63,4313.049816
60,387,4336.753015
10,21,4338.077762
53,170,4348.704314
55,281,4366.22456
65,319,4386.228788
9,37,4388.48016
88,431,4414.685882
5,12,4415.371989
75,319,4435.074094
5,12,4435.877683
67,434,4462.631166
50,288,4480.191912
82,117,4487.223958
43,89,4492.849419
42,263,4508.825081
65,940,4567.448434
8,15,4568.400486
61,171,4578.569785
7,23,4579.971174
9,18,4581.024466
53,212,4593.871027
84,126,4601.315982
4,12,4602.036037
76,477,4630.963454
32,164,4641.093088
32,90,4646.615562
33,106,4653.144353
36,130,4661.324392
44,170,4671.673775
89,797,4720.5474
68,293,4738.444078
87,902,4793.085588
23,110,4799.929345
33,147,4809.005445
32,285,4827.041278
41,158,4836.803383
43,150,4845.872372
24,120,4853.022843
28,108,4859.529603
27,231,4873.276927
51,323,4893.0261
29,306,4911.388829
28,544,4944.086042
6,8,4944.586697
99,150,4953.70106
2,8,4954.193958
31,474,4982.378746
24,91,4987.82517
80,491,5018.259406
30,151,5027.486309
101,255,5043.21533
25,358,5064.855423
1,16,5065.876224
9,17,5066.902798
6,42,5069.475785
10,50,5072.592853
78,228,5086.484212
32,188,5097.95392
91,695,5140.479704
32,358,5162.478201
44,399,5187.076565
78,502,5217.68848
32,395,5242.035861
77,307,5260.735354
80,330,5280.797132
35,668,5321.896402
24,158,5331.768816
83,145,5340.58475
29,209,5353.189771
59,305,5371.895714
31,294,5390.507484
29,475,5420.215758
5,21,5421.539632
85,283,5439.291212
2,11,5439.958069
81,249,5455.291069
24,205,5467.641186
7,31,5469.529013
38,159,5479.300002
116,226,5493.118509
162,944,5551.183678
10,49,5554.132742
84,157,5563.620434
10,26,5565.167947
9,52,5568.271083
36,177,5578.723469
9,26,5580.359939
89,277,5597.323375
4,33,5599.409528
9,40,5601.822566
72,72,5606.189143
7,53,5609.335817
36,212,5622.059073
53,164,5632.109936
72,37,5634.472865
120,499,5665.330941
93,63,5669.144351
6,8,5669.65494
46,155,5679.225345
3,8,5679.703528
136,446,5706.814508
88,190,5718.478126
4,7,5718.90756
75,239,5733.670463
73,243,5748.750255
43,161,5758.656585
75,252,5774.491897
139,473,5804.022348
73,133,5812.344686
116,227,5826.373309
10,211,5839.09761
5,27,5840.713024
100,178,5851.592012
7,12,5852.361983
80,83,5857.585452
10,34,5859.850635
4,10,5860.492325
90,78,5865.788197
6,14,5866.68592
137,436,5893.489208
7,14,5894.358272
75,83,5899.377154
129,723,5944.488205
95,81,5949.673644
108,136,5958.517799
105,165,5968.582059
123,254,5983.974532
86,426,6010.343983
96,145,6018.885409
71,112,6025.50899
97,328,6045.036666
130,201,6057.246761
12,461,6085.834273
122,235,6144.984554
84,52,6148.162717
80,193,6159.649201
104,206,6170.404416
74,157,6177.325142
80,128,6183.12956
70,566,6208.073495
1,9,6208.478439
79,115,6213.71442
114,269,6226.552067
42,174,6236.233446
82,82,6241.270783
8,14,6242.118588
81,383,6265.423159
7,14,6266.264228
178,372,6289.114672
109,210,6302.05762
32,359,6323.993115
79,76,6328.630026
109,287,6346.166948
117,323,6365.992016
7,22,6367.353308
98,184,6378.729623
47,399,6403.861885
82,324,6423.60799
103,152,6433.186304
134,320,6452.539303
85,311,6471.979294
94,73,6476.523338
36,448,6503.725607
32,204,6515.898993
5,95,6521.613846
6,33,6523.593575
44,466,6551.633352
79,151,6560.945251
1,29,6562.703755
0,71,6566.955783
109,393,6590.724588
107,170,6601.268524
115,449,6628.969411
108,741,6674.568156
11,18,6675.692443
34,163,6685.792797
108,243,6700.795892
25,106,6707.42753
68,342,6728.584249
111,224,6742.497818
43,401,6767.080458
94,464,6795.631899
87,115,6802.735291
25,220,6816.213593
104,762,6863.487967
77,555,6897.862247
85,363,6920.878125
4,11,6921.615805
109,267,6937.871121
103,209,6950.843022
135,338,6971.650692
74,95,6977.519549
138,231,6991.684857
93,407,7017.251174
84,100,7023.591465
93,64,7027.583143
71,205,7040.675939
7,23,7042.146303
74,121,7050.023761
115,211,7063.052664
95,112,7069.880786
1,13,7070.671907
85,63,7074.442912
114,455,7102.608223
92,73,7107.089513
92,279,7124.189931
117,251,7139.657743
128,378,7163.78886
111,194,7175.68678
99,135,7184.075503
113,377,7207.879195
3,31,7209.778233
6,26,7211.440433
93,190,7223.049664
13,257,7238.841453
49,311,7257.994281
83,74,7262.417121
87,155,7271.773708
133,1003,7332.451063
32,58,7335.958949
131,886,7391.015328
9,79,7396.14812
101,309,7415.453278
98,279,7433.007407
79,70,7437.187471
5,79,7442.075463
107,124,7449.817808
92,283,7467.240033
116,762,7514.175739
80,455,7542.150008
104,495,7572.856566
87,594,7609.411433
98,158,7619.31801
38,166,7629.747098
98,268,7646.14955
106,394,7670.456227
90,92,7676.091872
90,138,7684.524908
13,178,7696.085361
119,207,7709.557519
89,168,7719.810646
26,472,7748.695768
102,228,7763.023762
93,102,7769.699682
93,149,7778.568885
91,70,7782.793912
83,90,7788.1831
35,670,7828.860882
91,155,7838.424601
78,59,7842.024737
80,61,7845.839857
90,233,7860.855892
103,328,7880.909703
104,184,7892.01803
