#{"env_id": null, "t_start": 1589010681.6361809}
r,l,t,score
7,93,10.934945,7
26,229,16.297921,26
5,258,20.458312,5
31,769,32.340913,31
5,69,33.790964,5
3,33,34.1343,3
2,68,34.934829,2
8,127,36.903351,8
2,36,37.877069,2
3,49,38.424242,3
8,109,40.189656,8
48,630,50.161267,48
2,27,50.477363,2
2,42,50.959106,2
1,38,51.98041,1
5,48,52.553604,5
4,53,53.142969,4
23,155,56.090911,23
5,73,56.940621,5
43,181,60.191656,43
22,125,62.307882,22
33,254,66.36347,33
2,26,66.665396,2
12,65,67.366457,12
48,842,81.041614,48
50,589,90.082206,50
9,72,91.479697,9
17,128,93.543199,17
36,287,97.951416,36
41,809,110.936949,41
2,43,111.470645,2
60,1265,131.181319,60
1,28,131.473835,1
2,37,131.896217,2
34,342,137.476478,34
47,1308,157.764642,47
75,1389,179.353987,75
12,102,181.066059,12
65,1510,204.915472,65
3,49,205.46353,3
2,51,206.105225,2
12,88,207.640161,12
5,30,208.003502,5
41,393,214.12456,41
23,245,218.075993,23
55,1733,245.44879,55
3,51,246.023309,3
73,1186,262.596777,73
35,265,266.104807,35
45,481,272.130091,45
46,592,280.030946,46
46,1051,293.793913,46
38,723,304.934735,38
19,137,307.001894,19
29,208,310.352894,29
29,473,317.119025,29
46,1590,341.736566,46
18,161,344.064583,18
12,95,345.69763,12
29,128,347.633073,29
30,310,352.087937,30
37,1042,367.718619,37
38,379,373.545396,38
14,106,375.229595,14
19,166,377.685845,19
9,33,378.640967,9
39,230,381.726164,39
37,291,386.662768,37
35,383,392.500015,35
37,813,404.599777,37
57,1173,422.234299,57
59,1237,440.396365,59
40,764,450.548826,40
10,68,451.201524,10
22,145,453.101891,22
66,421,459.170073,66
58,964,471.592773,58
109,446,478.134718,109
43,595,487.032444,43
26,170,490.074687,26
7,57,490.689899,7
13,128,492.667068,13
7,62,493.944249,7
39,339,498.75758,39
10,78,500.157644,10
14,198,502.879851,14
13,144,505.552049,13
0,69,506.281621,0
48,664,516.35408,48
57,517,524.087325,57
34,192,527.247868,34
40,341,532.583768,40
14,72,533.371927,14
1,32,533.747441,1
51,428,540.635187,51
4,42,541.032023,4
11,84,542.300222,11
25,113,543.818963,25
79,902,556.209579,79
40,255,560.875947,40
33,650,570.30327,33
44,700,580.914897,44
