TrainStep,MeanReward,StdReward,MaxReward,MinReward,MeanEpLength,StdEpLength,EvaluationTime
  250000,  94.0,  25.4, 155.0,  40.0, 774.8, 479.4,0:04:05
  500000, 140.1,  42.6, 308.0,  82.0, 609.8, 322.3,0:03:25
  750000, 209.9,  35.1, 275.0, 150.0, 875.9, 545.4,0:04:48
 1000000, 236.9,  40.7, 385.0, 153.0, 744.7, 288.7,0:04:04
 1250000, 237.1,  52.3, 328.0,  55.0, 681.2, 263.8,0:03:43
 1500000, 389.8, 247.4, 848.0,  95.0, 473.5, 126.8,0:02:35
 1750000, 267.3, 130.7, 779.0,  99.0, 563.3, 207.5,0:03:05
 2000000, 276.6, 138.4, 790.0,  90.0, 582.4, 245.5,0:03:11
 2250000, 679.4, 217.5, 868.0, 224.0, 421.1, 102.2,0:02:16
 2499968, 506.1, 269.8, 831.0, 104.0, 476.6, 118.8,0:02:09
