#{"t_start": 1589166625.5407844, "env_id": null}
r,l,t,score
26,205,12.0265,26
14,183,14.864193,14
37,536,22.435579,37
2,70,23.131923,2
41,485,30.091425,41
66,383,35.388361,66
1,49,35.834574,1
14,78,37.189531,14
24,225,40.5686,24
4,62,41.143378,4
1,36,42.054686,1
42,360,46.652637,42
20,75,48.070448,20
12,109,49.761717,12
7,76,50.458781,7
10,83,51.934656,10
8,58,53.160195,8
38,277,56.971319,38
39,368,62.25241,39
41,450,68.223282,41
56,629,77.008735,56
1,43,77.504584,1
38,208,80.632271,38
44,368,85.880992,44
52,981,99.258978,52
38,735,109.816193,38
36,430,116.09919,36
29,206,118.679699,29
6,38,119.0484,6
17,244,122.46552,17
5,828,134.458192,5
50,776,145.373627,50
15,266,149.12559,15
30,290,153.02418,30
54,781,164.050181,54
41,362,169.297509,41
36,1276,187.158462,36
46,681,196.398158,46
52,589,204.879143,52
22,127,206.691638,22
1,31,206.998552,1
1,36,207.966666,1
34,285,211.89678,34
65,1133,227.930402,65
34,141,229.886815,34
34,392,235.342481,34
14,845,246.594327,14
24,514,253.777066,24
14,298,258.260848,14
26,176,260.427142,26
1,33,260.816271,1
25,297,265.366727,25
13,46,265.781135,13
27,172,268.046259,27
36,658,277.637257,36
53,584,285.374028,53
34,245,288.807798,34
32,302,292.819933,32
3,29,293.649274,3
69,714,303.092257,69
58,426,309.363306,58
1,24,309.585848,1
12,158,311.709415,12
34,282,315.417199,34
5,36,315.788774,5
1,30,316.566954,1
70,909,328.796539,70
41,1307,346.63533,41
35,660,355.610066,35
12,115,357.228592,12
45,1240,374.294576,45
30,320,378.412979,30
36,316,383.11609,36
31,574,390.805281,31
36,883,403.279233,36
28,168,405.472916,28
16,211,408.605557,16
52,523,415.869431,52
44,1071,431.034532,44
35,405,436.526377,35
1,36,436.863206,1
51,653,445.876235,51
38,425,451.547307,38
29,182,454.434137,29
73,817,465.590401,73
13,128,467.347455,13
44,999,481.196947,44
43,1188,497.591482,43
19,179,500.370161,19
1,31,500.66884,1
93,831,511.809795,93
0,64,512.918048,0
46,424,518.702712,46
47,699,528.466734,47
12,162,530.580435,12
39,341,535.390576,39
30,184,537.764166,30
32,364,542.895549,32
2,23,543.118846,2
7,56,544.209877,7
1,37,544.60107,1
24,290,548.477118,24
14,175,550.708187,14
39,222,553.997533,39
35,212,557.125982,35
15,55,557.638582,15
28,159,559.724343,28
55,355,564.878565,55
91,809,576.495878,91
15,47,576.961516,15
38,710,586.495806,38
12,782,597.891878,12
11,55,598.439133,11
39,268,602.093259,39
85,494,608.987756,85
25,228,612.24625,25
66,281,616.164324,66
31,158,618.254061,31
28,124,620.035198,28
24,274,623.839686,24
31,133,625.703648,31
71,653,634.808612,71
57,708,645.02843,57
73,614,653.708089,73
60,478,660.603128,60
0,33,660.940515,0
97,782,671.878664,97
43,327,676.118763,43
16,53,677.302939,16
47,409,682.967384,47
47,222,686.332129,47
58,250,689.880438,58
38,280,693.687837,38
68,363,698.826953,68
57,408,704.381249,57
47,373,709.685764,47
59,531,717.166475,59
83,733,727.419326,83
37,261,731.051027,37
76,520,738.273393,76
19,200,740.700749,19
54,547,748.988051,54
132,1540,770.080956,132
32,138,772.031859,32
92,523,779.234071,92
44,215,782.326428,44
16,232,785.073183,16
37,224,788.404027,37
17,171,790.603138,17
30,158,793.30459,30
55,375,798.450836,55
45,376,803.608165,45
1,24,803.829332,1
39,189,806.193083,39
68,523,813.222808,68
43,220,816.426547,43
22,114,817.993556,22
48,187,820.344798,48
10,34,821.135983,10
61,961,834.088375,61
41,362,839.220557,41
46,216,842.353617,46
46,260,845.968772,46
30,208,848.510796,30
40,348,853.515178,40
50,299,857.486892,50
72,478,864.253333,72
129,1113,879.637792,129
75,838,890.924139,75
52,491,898.010795,52
75,591,906.350139,75
99,804,917.101113,99
8,69,918.310378,8
28,147,920.26348,28
2,37,920.58585,2
4,28,920.855924,4
3,25,921.119235,3
23,91,922.493086,23
94,784,933.210664,94
9,70,934.5327,9
4,34,934.808136,4
27,148,936.833586,27
31,208,939.975023,31
26,149,941.994771,26
45,334,947.022056,45
55,306,951.089516,55
79,793,961.994975,79
68,544,969.9715,68
63,938,982.733639,63
113,971,996.107795,113
46,372,1001.363012,46
0,58,1002.596946,0
35,325,1006.864164,35
41,767,1017.629843,41
17,143,1019.588904,17
27,260,1023.234895,27
12,161,1025.864016,12
44,599,1033.814864,44
9,83,1035.107199,9
49,287,1038.928451,49
81,574,1047.094726,81
39,199,1049.605653,39
37,231,1052.938101,37
53,737,1063.480916,53
70,356,1068.644463,70
72,928,1081.482119,72
68,363,1086.624731,68
12,76,1087.389629,12
54,198,1090.53852,54
20,125,1092.237461,20
50,482,1099.108028,50
36,419,1104.862527,36
12,385,1110.33441,12
28,825,1121.620494,28
4,57,1122.857018,4
12,114,1124.614478,12
4,83,1125.334002,4
3,37,1126.384108,3
1,87,1127.113452,1
4,86,1128.545177,4
30,435,1134.454155,30
29,640,1143.475698,29
34,581,1151.949309,34
50,820,1163.234565,50
58,581,1171.633162,58
57,885,1184.042823,57
30,197,1186.532688,30
42,233,1189.901502,42
58,771,1200.578897,58
68,282,1204.426122,68
33,375,1209.618543,33
53,1109,1225.013314,53
54,679,1234.316024,54
47,482,1241.201327,47
86,816,1252.341317,86
23,126,1254.155231,23
100,563,1262.372119,100
103,658,1271.469172,103
17,120,1273.259194,17
0,92,1274.766345,0
44,372,1279.599871,44
26,139,1283.345791,26
89,884,1297.151485,89
18,387,1304.513111,18
59,313,1309.516812,59
31,121,1311.612383,31
71,308,1316.572068,71
126,1170,1336.290389,126
32,151,1339.516665,32
74,378,1345.983236,74
43,220,1349.294075,43
78,891,1364.586204,78
75,414,1371.55705,75
32,513,1381.161149,32
47,218,1384.439241,47
78,770,1397.491424,78
87,703,1409.83128,87
102,586,1419.465361,102
86,388,1426.216387,86
50,355,1432.638216,50
66,266,1437.195433,66
63,347,1443.469201,63
58,264,1447.992522,58
69,471,1456.317457,69
35,263,1460.929563,35
70,445,1468.286701,70
86,753,1481.242074,86
97,674,1492.446535,97
57,144,1494.854034,57
95,675,1506.808192,95
29,681,1518.299551,29
50,716,1530.978892,50
78,537,1540.083139,78
18,51,1540.625053,18
22,219,1544.778028,22
94,755,1558.161187,94
68,368,1564.785452,68
55,308,1569.763861,55
43,188,1573.479358,43
62,320,1578.593451,62
102,836,1592.897632,102
66,810,1606.576738,66
22,99,1608.508027,22
96,495,1617.122014,96
62,703,1629.002155,62
65,387,1635.638719,65
112,1705,1664.456359,112
95,812,1679.000048,95
75,369,1685.529116,75
106,1155,1705.272928,106
9,43,1705.756625,9
58,640,1716.853969,58
49,245,1721.059979,49
109,630,1731.948274,109
34,312,1737.147714,34
72,614,1747.94975,72
47,1071,1766.062431,47
35,354,1772.264578,35
25,291,1777.0082,25
55,198,1780.707747,55
53,228,1784.872863,53
60,234,1789.075684,60
21,72,1789.858602,21
37,269,1794.487787,37
49,714,1807.222886,49
26,68,1807.98226,26
84,346,1814.185112,84
72,415,1821.164011,72
13,667,1833.542065,13
15,838,1847.761822,15
34,584,1858.080347,34
37,1551,1884.947678,37
51,919,1900.615737,51
55,466,1908.765068,55
74,511,1917.423378,74
61,612,1927.304243,61
21,146,1930.323895,21
75,589,1939.954177,75
100,393,1946.528528,100
74,714,1959.054616,74
24,87,1960.111415,24
72,349,1966.231441,72
88,1201,1986.755552,88
41,422,1993.819266,41
45,486,2002.373585,45
86,699,2013.954513,86
108,1220,2034.813007,108
57,872,2049.165929,57
65,468,2057.336027,65
43,239,2061.546031,43
77,1047,2078.936682,77
53,236,2083.083545,53
112,1862,2114.834562,112
100,894,2129.963711,100
71,415,2137.000689,71
43,93,2138.796768,43
70,371,2144.687008,70
118,1467,2170.184254,118
56,217,2174.186544,56
121,1009,2190.810232,121
69,250,2195.197707,69
65,386,2201.803193,65
31,399,2209.197531,31
101,1172,2228.869505,101
