TrainStep,MeanScore,StdScore,MaxScore,MinScore,MeanReturn,StdReturn,MaxReturn,MinReturn,MeanLength,StdLength,MaxLength,MinLength,EvalGhostsMean,Wins,EvaluationTime,TrainGhostsMean
  100000, 261.9,  54.6,     400,     149, 246.0,  54.9, 382.4, 124.4, 279.2, 120.3,     599,     150,   2.5,       0,0:03:51,   2.5
  200000, 291.9,  79.9,     432,      94, 277.9,  81.4, 426.3,  70.4, 302.3, 170.7,     868,      56,   2.5,       0,0:03:35,   2.5
  300000, 367.9, 116.4,     871,     178, 351.5, 117.6, 869.5, 157.4, 278.8, 113.3,     649,      97,   2.5,       1,0:03:26,   2.5
  400000, 382.6,  85.2,     643,     234, 374.3,  85.3, 623.4, 208.7, 331.0, 120.1,     766,     137,   2.5,       0,0:04:12,   2.5
  500000, 451.7, 205.9,    1025,     174, 440.4, 210.5,1024.0, 154.1, 313.8, 166.0,    1009,      87,   2.5,       6,0:04:09,   2.5
  600000, 362.7,  79.1,     557,     206, 349.7,  77.3, 532.2, 182.2, 315.0, 176.0,    1166,     120,   2.5,       0,0:03:36,   2.5
  700000, 405.0, 150.2,     868,      70, 391.7, 152.3, 867.5,  65.2, 263.2, 108.0,     607,      31,   2.5,       3,0:03:07,   2.5
  800000, 434.4, 149.8,     968,     161, 421.6, 151.3, 967.5, 144.6, 280.1, 129.8,     905,      83,   2.5,       2,0:03:45,   2.5
  900000, 448.1, 154.5,    1074,     288, 437.1, 156.4,1073.0, 285.5, 292.3,  93.2,     667,     177,   2.5,       3,0:03:04,   2.5
  999936, 478.3, 166.8,     879,      75, 468.4, 169.2, 878.0,  68.0, 319.6, 149.7,    1018,      37,   2.5,       5,0:03:56,   2.5
