#{"env_id": null, "t_start": 1593475393.4799285}
r,l,t,score,ghosts,win,d
-77,709,12.687987,73,2,0,0
-144,68,13.599459,6,3,0,0
-149,23,13.793371,1,2,0,0
-149,47,14.212381,1,3,0,0
-127,127,15.532315,23,3,0,0
-139,69,16.45437,11,4,0,0
-122,257,19.147192,28,2,0,0
-136,144,20.60706,14,1,0,0
-125,232,23.120587,25,2,0,0
-128,352,26.61803,22,1,0,0
-148,85,27.658155,2,4,0,0
-147,163,29.266196,3,1,0,0
-144,59,30.095883,6,4,0,0
-93,856,38.49465,57,1,0,0
-148,34,39.136978,2,2,0,0
-147,42,39.46209,3,3,0,0
-111,288,42.486615,39,4,0,0
-147,105,43.711401,3,3,0,0
-131,415,48.051171,19,1,0,0
-129,208,50.439366,21,2,0,0
-132,219,52.835145,18,2,0,0
-137,178,54.49184,13,1,0,0
-123,334,58.205049,27,1,0,0
-147,64,58.757802,3,3,0,0
-94,2296,82.376786,56,1,0,0
-146,168,84.136297,4,3,0,0
-142,149,85.93453,8,2,0,0
-148,106,86.79828,2,2,0,0
-145,129,88.174457,5,4,0,0
-145,179,90.338696,5,4,0,0
-137,269,93.189581,13,3,0,0
-150,45,93.563696,0,2,0,0
-136,94,94.693538,14,2,0,0
-115,965,104.785871,35,1,0,0
-148,88,105.506537,2,2,0,0
-94,789,113.399308,56,1,0,0
-59,1108,124.726822,91,1,0,0
-147,68,125.705469,3,3,0,0
-148,112,126.65618,2,4,0,0
-147,23,127.209418,3,4,0,0
-97,684,133.920406,53,1,0,0
-115,336,137.541962,35,2,0,0
-147,43,137.902328,3,4,0,0
-110,261,140.633685,40,2,0,0
-142,59,141.038592,8,2,0,0
-126,182,143.179436,24,3,0,0
-43,1228,155.417536,107,1,0,0
-120,270,158.654593,30,3,0,0
-146,87,159.391349,4,4,0,0
-147,113,160.609883,3,4,0,0
-142,89,161.699165,8,4,0,0
-124,211,163.861346,26,4,0,0
-141,118,165.203472,9,4,0,0
-96,494,170.453665,54,2,0,0
-106,302,173.901844,44,2,0,0
-69,1613,190.151701,81,1,0,0
-150,27,190.384611,0,4,0,0
-150,28,190.92263,0,3,0,0
-120,210,192.950366,30,3,0,0
-149,61,193.752772,1,4,0,0
-145,144,195.206796,5,2,0,0
-96,835,203.680445,54,1,0,0
-113,552,209.543147,37,1,0,0
-131,214,211.541625,19,2,0,0
-145,103,212.732064,5,4,0,0
-149,76,213.719044,1,4,0,0
-118,212,215.885153,32,4,0,0
-139,71,216.731017,11,3,0,0
-113,290,219.808556,37,4,0,0
-114,309,223.195198,36,1,0,0
-121,175,224.864919,29,2,0,0
-112,377,228.774628,38,2,0,0
-112,220,231.168526,38,3,0,0
-98,484,235.665209,52,1,0,0
-81,704,242.952669,69,1,0,0
-78,399,247.215266,72,4,0,0
-132,131,248.707461,18,3,0,0
-112,244,251.402264,38,4,0,0
-107,722,259.068887,43,3,0,0
-128,161,260.687579,22,3,0,0
-134,51,261.173907,16,3,0,0
-135,54,261.915639,15,4,0,0
-128,116,263.117773,22,2,0,0
-118,432,267.437155,32,2,0,0
-138,65,268.385311,12,4,0,0
-126,211,270.457807,24,4,0,0
-97,253,273.164714,53,3,0,0
-82,223,275.694774,68,4,0,0
-99,184,277.527483,51,4,0,0
-55,687,284.634918,95,2,0,0
-94,341,287.83688,56,4,0,0
-79,316,291.342378,71,3,0,0
-36,961,300.616981,114,1,0,0
-72,247,303.100672,78,4,0,0
-72,414,307.715242,78,2,0,0
-97,349,311.100654,53,3,0,0
-80,369,315.030284,70,3,0,0
-74,406,319.164646,76,2,0,0
-19,275,322.124613,131,4,0,0
-54,890,331.015971,96,1,0,0
-57,758,338.674297,93,1,0,0
-51,563,344.706211,99,2,0,0
-101,86,345.339207,49,3,0,0
-93,247,347.990054,57,4,0,0
-85,297,351.299179,65,3,0,0
-85,171,352.992378,65,4,0,0
-81,389,356.973402,69,2,0,0
-18,358,360.892022,132,2,0,0
-62,1273,373.558532,88,1,0,0
-60,622,380.032757,90,2,0,0
-53,1012,390.052336,97,1,0,0
-93,312,393.179073,57,2,0,0
-63,534,398.597577,87,2,0,0
-125,83,399.569564,25,2,0,0
-68,294,402.519165,82,3,0,0
-36,1148,413.826566,114,1,0,0
-129,77,414.801017,21,3,0,0
-58,232,416.880869,92,1,0,0
-49,361,420.626893,101,2,0,0
-96,389,424.761936,54,3,0,0
-89,122,426.053409,61,3,0,0
-72,219,428.47191,78,4,0,0
-50,938,437.552051,100,1,0,0
-113,119,438.80421,37,3,0,0
-20,654,445.339257,130,2,0,0
-60,310,448.652956,90,3,0,0
-77,184,450.423288,73,4,0,0
-36,992,460.531333,114,2,0,0
-112,91,461.569216,38,4,0,0
-57,378,465.440755,93,2,0,0
-123,101,466.244046,27,3,0,0
-95,294,469.632638,55,2,0,0
-48,1141,481.298162,102,1,0,0
-72,482,485.891332,78,1,0,0
-28,791,494.068867,122,1,0,0
-128,98,494.930894,22,4,0,0
-40,403,499.095639,110,2,0,0
-106,102,500.253978,44,3,0,0
-9,963,509.596188,141,1,0,0
-17,202,511.531344,133,4,0,0
-113,241,514.051468,37,1,0,0
-79,147,515.440914,71,2,0,0
-58,414,519.899039,92,1,0,0
9,1263,532.181052,159,1,0,0
-51,149,533.675342,99,4,0,0
-32,380,537.582913,118,3,0,0
-76,160,539.150172,74,4,0,0
-27,511,544.193187,123,1,0,0
-102,156,545.792078,48,4,0,0
-51,196,548.02778,99,4,0,0
-70,405,552.12928,80,3,0,0
-44,964,561.524148,106,1,0,0
-105,97,562.593289,45,4,0,0
-93,344,566.124974,57,1,0,0
-15,898,575.065207,135,1,0,0
-59,505,580.321134,91,2,0,0
-54,295,583.272944,96,4,0,0
-53,278,586.017598,97,1,0,0
-113,192,588.197688,37,2,0,0
-111,401,592.176919,39,1,0,0
-40,249,594.727205,110,2,0,0
-26,465,599.207774,124,1,0,0
-55,246,601.841168,95,4,0,0
32,483,606.693198,182,1,0,0
9,377,610.669789,159,3,0,0
-24,1058,621.209209,126,1,0,0
-18,418,625.690435,132,2,0,0
-75,95,626.368481,75,3,0,0
-15,705,633.957983,135,3,0,0
-32,213,636.112098,118,2,0,0
-61,191,637.954876,89,4,0,0
-66,336,641.419194,84,3,0,0
13,388,645.255095,163,2,0,0
-19,920,654.181807,131,1,0,0
-23,296,657.142132,127,3,0,0
27,583,663.002579,177,2,0,0
32,670,669.788726,182,3,0,0
20,946,678.739361,170,1,0,0
-9,450,683.497604,141,2,0,0
15,332,686.706707,165,3,0,0
23,567,692.592442,173,2,0,0
66,413,696.856284,216,4,0,0
115,369,700.702146,265,3,0,0
35,402,704.68492,185,4,0,0
91,1079,715.31674,241,2,0,0
77,398,719.323933,227,1,0,0
-23,313,722.123399,127,1,0,0
-87,114,723.323688,63,4,0,0
-71,159,724.892548,79,4,0,0
13,386,728.748368,163,3,0,0
115,584,734.852082,265,2,0,0
0,328,737.975557,150,4,0,0
27,614,744.055406,177,1,0,0
28,530,749.151071,178,1,0,0
37,187,751.367998,187,4,0,0
-4,565,756.805074,146,1,0,0
26,754,764.181235,176,1,0,0
5,203,766.452265,155,4,0,0
28,449,770.668298,178,1,0,0
68,494,775.768129,218,2,0,0
32,521,781.036197,182,2,0,0
85,689,788.007494,235,2,0,0
-55,228,790.03131,95,3,0,0
-36,645,796.34222,114,1,0,0
-29,1510,811.262555,121,1,0,0
71,603,817.402189,221,1,0,0
101,548,822.960328,251,3,0,0
32,1090,834.093542,182,2,0,0
