#{"t_start": 1595900860.7994876, "env_id": null}
r,l,t,score,ghosts,level,win,d,map
-167.0,128,6.848899,10,4,2,0,0,data/map2.bmp
-220.5,486,11.252075,40,1,1,0,0,data/map2.bmp
-158.0,102,12.159169,18,4,1,0,0,data/map2.bmp
-160.5,101,13.148353,11,1,1,0,0,data/map1.bmp
-156.0,40,13.490742,1,4,1,0,0,data/map1.bmp
-162.5,62,14.274348,1,4,1,0,0,data/map1.bmp
-159.0,68,14.747466,5,1,1,0,0,data/map1.bmp
-150.0,8,14.81565,1,4,2,0,0,data/map1.bmp
-163.5,85,15.620211,8,1,1,0,0,data/map1.bmp
-148.0,39,15.874672,9,2,2,0,0,data/map1.bmp
-144.0,263,18.443552,69,4,1,0,0,data/map2.bmp
-161.0,54,19.710596,2,2,2,0,0,data/map1.bmp
-164.0,70,20.560995,3,4,0,0,0,data/map1.bmp
-156.0,89,21.38607,15,4,0,0,0,data/map2.bmp
-162.5,111,22.561702,13,2,2,0,0,data/map1.bmp
-174.5,118,23.850837,11,4,0,0,0,data/map2.bmp
-231.5,411,28.214036,29,1,1,0,0,data/map1.bmp
-181.0,227,30.856362,21,2,1,0,0,data/map2.bmp
-206.0,389,35.038795,45,4,1,0,0,data/map2.bmp
-165.5,80,35.761853,5,4,0,0,0,data/map1.bmp
-171.5,173,37.823664,20,4,2,0,0,data/map2.bmp
-169.0,120,39.126063,11,4,1,0,0,data/map2.bmp
-155.0,62,39.671679,8,1,1,0,0,data/map1.bmp
-161.0,132,41.237614,10,4,0,0,0,data/map1.bmp
-157.0,54,42.017883,6,4,2,0,0,data/map2.bmp
-157.5,90,42.765759,17,4,1,0,0,data/map2.bmp
-178.0,491,48.218799,108,4,1,0,0,data/map2.bmp
-159.5,163,49.926794,25,4,0,0,0,data/map2.bmp
-168.0,129,51.391229,15,4,1,0,0,data/map2.bmp
-154.0,44,52.02637,5,2,2,0,0,data/map1.bmp
-166.5,77,52.701797,3,4,1,0,0,data/map1.bmp
-179.0,240,55.417262,25,4,1,0,0,data/map2.bmp
-199.5,376,59.299479,38,1,1,0,0,data/map2.bmp
-322.5,774,66.927918,34,1,1,0,0,data/map2.bmp
-167.0,62,67.689115,1,4,2,0,0,data/map1.bmp
-158.5,49,68.111021,3,4,1,0,0,data/map1.bmp
