TrainStep,MeanScore,StdScore,MaxScore,MinScore,MeanReturn,StdReturn,MaxReturn,MinReturn,MeanLength,StdLength,MaxLength,MinLength,Wins,EvalEpisodes,EvalIdleStepsMean,EvalIdleEps,EvalGhostsMean,EvalLevelMean,EvalTime,TrainGhostsMean,TrainLevelMean
2000000,  396.9,  203.7, 878, 152,  267.6,  245.0,  876.5,  -15.5,  698.6,  684.1,2999, 142,  28, 105,   13.0,104,    3.0,    1.1,0:08:30,    3.0,    1.1
4000000,  560.1,  243.0, 932,  33,  456.3,  295.1,  917.5, -120.5,  436.8,  176.4,1253, 154,  52, 105,   15.4,105,    3.0,    1.1,0:05:33,    3.0,    1.1
6000000,  552.8,  264.8, 998, 143,  429.5,  319.3,  939.0, -134.0,  609.8,  382.1,2217,  88,  51, 105,   37.9,103,    3.0,    1.1,0:07:40,    3.0,    1.1
8000000,  741.6,  224.4,1065,   7,  677.3,  260.6, 1058.5,    7.0,  391.4,  282.5,2999, 136,  86, 105,   18.9,98,    3.0,    1.1,0:04:39,    3.0,    1.1
10000000,  727.6,  204.6,1058, 208,  665.5,  249.9, 1004.5,   53.0,  391.6,  103.9, 822, 217,  82, 105,    6.0,89,    3.0,    1.1,0:04:57,    3.0,    1.1
12000000,  698.1,  231.0,1072, 170,  618.5,  275.5, 1036.0,   19.5,  371.9,  283.7,2999, 148,  76, 105,   13.5,81,    3.0,    1.1,0:06:48,    3.0,    1.1
14000000,  782.0,  173.5,1126, 286,  730.3,  208.1, 1029.5,  132.0,  331.5,   82.3, 686, 241,  92, 105,    7.2,68,    3.0,    1.1,0:06:03,    3.0,    1.1
16000000,  746.2,  204.4,1060, 196,  688.6,  252.1, 1031.0,   44.5,  328.3,  102.7, 987, 225,  81, 105,    3.8,81,    3.0,    1.1,0:06:08,    3.0,    1.1
18000000,  701.0,  230.2,1133,  78,  623.7,  281.9, 1028.5, -129.0,  344.6,   96.1, 926, 161,  81, 105,   29.8,93,    3.0,    1.1,0:06:22,    3.0,    1.1
20000000,  784.1,  204.5,1124, 190,  732.6,  242.0, 1115.5,   36.0,  326.4,   66.7, 643, 224,  88, 105,    6.9,76,    3.0,    1.1,0:06:11,    3.0,    1.1
