#{"t_start": 1595257146.9117842, "env_id": null}
r,l,t,score,ghosts,level,win,d,map
-177.0,213,9.11353,23,4,2,0,0,data/map2.bmp
-151.5,21,9.433996,3,4,2,0,0,data/map1.bmp
-156.0,22,9.699199,1,4,1,0,0,data/map1.bmp
-265.0,689,20.511212,49,1,1,0,0,data/map2.bmp
-149.5,124,23.014686,24,4,0,0,0,data/map2.bmp
-151.0,19,23.265571,3,4,1,0,0,data/map1.bmp
-151.0,23,23.553677,3,4,2,0,0,data/map1.bmp
-185.5,254,27.290257,31,2,2,0,0,data/map1.bmp
-164.0,103,29.089817,5,4,0,0,0,data/map1.bmp
-164.5,142,31.260724,24,4,1,0,0,data/map2.bmp
-190.0,228,34.751548,13,4,2,0,0,data/map2.bmp
-151.5,14,34.955509,2,2,2,0,0,data/map1.bmp
-156.5,210,38.284616,40,4,2,0,0,data/map2.bmp
-153.0,131,40.290993,26,4,2,0,0,data/map2.bmp
-280.5,683,50.842301,44,4,0,0,0,data/map1.bmp
-188.0,265,55.292253,24,4,1,0,0,data/map2.bmp
-157.5,120,57.305615,14,4,0,0,0,data/map2.bmp
-166.5,250,61.807046,38,4,0,0,0,data/map2.bmp
-180.5,400,68.513573,44,1,1,0,0,data/map2.bmp
-210.5,384,74.952943,34,2,1,0,0,data/map2.bmp
-156.5,191,78.488809,29,1,1,0,0,data/map1.bmp
-158.0,120,80.040092,21,4,2,0,0,data/map2.bmp
-148.5,107,82.042062,22,4,2,0,0,data/map2.bmp
-203.5,348,88.030635,37,2,1,0,0,data/map2.bmp
-162.0,111,90.232452,17,4,0,0,0,data/map1.bmp
-140.5,85,91.877318,25,4,1,0,0,data/map2.bmp
-198.5,280,96.700861,31,2,1,0,0,data/map2.bmp
-194.0,312,101.782358,40,1,1,0,0,data/map2.bmp
-160.5,119,103.988076,15,4,0,0,0,data/map2.bmp
-155.5,43,104.618637,2,4,0,0,0,data/map1.bmp
-154.5,18,105.370647,0,4,2,0,0,data/map1.bmp
-136.0,216,108.776855,56,1,1,0,0,data/map2.bmp
-150.0,47,110.076457,8,4,0,0,0,data/map1.bmp
-364.0,1307,131.932599,72,1,1,0,0,data/map2.bmp
-150.0,13,132.11749,2,2,2,0,0,data/map1.bmp
-162.0,160,134.909784,17,4,2,0,0,data/map2.bmp
-155.5,39,136.063307,1,2,2,0,0,data/map1.bmp
-191.0,313,141.357724,37,4,1,0,0,data/map1.bmp
-134.5,273,146.251409,84,4,0,0,0,data/map1.bmp
-261.0,866,161.571033,82,1,1,0,0,data/map2.bmp
-176.5,315,166.917146,28,4,0,0,0,data/map2.bmp
-189.5,350,173.170698,39,1,1,0,0,data/map2.bmp
-237.5,692,184.984364,81,1,1,0,0,data/map2.bmp
-204.0,393,192.601609,39,1,1,0,0,data/map1.bmp
-151.0,35,193.044523,8,4,1,0,0,data/map1.bmp
-154.5,190,196.826696,36,2,1,0,0,data/map2.bmp
-191.0,242,201.060535,26,2,1,0,0,data/map2.bmp
-164.0,149,203.707559,23,4,0,0,0,data/map1.bmp
-203.0,321,209.96911,37,4,0,0,0,data/map2.bmp
-154.5,195,213.079622,29,4,1,0,0,data/map2.bmp
-160.0,139,215.50629,24,4,2,0,0,data/map2.bmp
-149.5,8,216.139826,1,4,2,0,0,data/map1.bmp
-219.0,557,225.715231,39,2,1,0,0,data/map2.bmp
-164.5,216,229.766669,22,4,1,0,0,data/map2.bmp
-157.0,63,230.627333,1,4,0,0,0,data/map1.bmp
-294.0,1394,254.233792,89,1,1,0,0,data/map2.bmp
-148.0,27,254.65713,3,4,1,0,0,data/map1.bmp
-152.5,34,255.141333,2,4,1,0,0,data/map1.bmp
-149.5,53,256.388839,2,1,1,0,0,data/map1.bmp
-152.0,37,256.962017,1,4,0,0,0,data/map1.bmp
-148.0,274,261.765082,40,2,1,0,0,data/map2.bmp
-155.5,38,262.870342,4,4,0,0,0,data/map1.bmp
-146.0,246,266.518566,19,2,1,0,0,data/map2.bmp
-229.0,495,275.166233,41,1,1,0,0,data/map1.bmp
-353.5,1507,301.644531,65,1,1,0,0,data/map1.bmp
-161.0,87,303.41207,1,2,2,0,0,data/map1.bmp
-233.0,948,319.623891,57,1,1,0,0,data/map1.bmp
-154.0,299,325.487065,4,1,1,0,0,data/map1.bmp
-150.0,15,325.680314,1,4,2,0,0,data/map1.bmp
-149,11,325.845747,1,2,2,0,0,data/map1.bmp
-149,18,326.08655,1,4,1,0,0,data/map1.bmp
-149.0,84,327.830825,9,4,2,0,0,data/map2.bmp
-166.5,119,329.460136,8,4,0,0,0,data/map2.bmp
-234.0,468,337.902803,12,2,1,0,0,data/map2.bmp
-149,86,339.647259,1,2,2,0,0,data/map1.bmp
-152.0,252,344.338995,12,4,1,0,0,data/map2.bmp
-145.5,67,345.280846,6,4,2,0,0,data/map2.bmp
-167.0,276,350.225313,12,4,0,0,0,data/map2.bmp
-154.0,100,352.171841,3,2,2,0,0,data/map1.bmp
-158.0,69,353.626625,2,2,2,0,0,data/map1.bmp
-339.0,673,365.703699,28,1,1,0,0,data/map1.bmp
-143.0,89,367.505193,8,4,2,0,0,data/map2.bmp
-250.5,544,376.783376,32,2,1,0,0,data/map2.bmp
-162.0,274,381.228023,15,1,1,0,0,data/map2.bmp
-227.0,1400,405.752275,50,1,1,0,0,data/map1.bmp
-149,15,405.940558,1,2,2,0,0,data/map1.bmp
-220.0,1377,429.606622,36,1,1,0,0,data/map2.bmp
-159.5,209,433.439516,6,1,1,0,0,data/map2.bmp
-149,112,435.037459,1,4,1,0,0,data/map1.bmp
-164.5,180,438.504111,7,2,1,0,0,data/map2.bmp
-166.5,135,440.872167,7,4,2,0,0,data/map2.bmp
-149.5,393,448.302323,1,1,1,0,0,data/map1.bmp
-209.5,402,455.297326,23,1,1,0,0,data/map1.bmp
-149.0,366,461.876404,12,1,1,0,0,data/map2.bmp
-145.0,123,463.98786,12,4,1,0,0,data/map2.bmp
-193.0,1341,487.265405,12,1,1,0,0,data/map2.bmp
-148.0,275,492.594105,6,2,1,0,0,data/map2.bmp
-151.0,114,494.129924,1,2,2,0,0,data/map1.bmp
-156.5,281,499.411743,9,4,0,0,0,data/map2.bmp
-241.0,852,513.697824,37,1,1,0,0,data/map2.bmp
-163.5,160,517.035112,13,4,0,0,0,data/map1.bmp
-150,47,517.730343,0,2,2,0,0,data/map1.bmp
-150.0,109,519.848915,1,4,1,0,0,data/map1.bmp
-146.5,431,527.294701,25,2,1,0,0,data/map2.bmp
-179.0,416,534.440174,19,2,1,0,0,data/map2.bmp
-139,102,536.485425,11,4,2,0,0,data/map2.bmp
-144.5,66,537.930004,12,4,0,0,0,data/map1.bmp
-146.5,188,541.090192,31,4,0,0,0,data/map1.bmp
-131.5,136,543.498071,19,4,0,0,0,data/map2.bmp
-140.5,593,553.768554,12,1,1,0,0,data/map2.bmp
-147.5,240,558.003946,6,1,1,0,0,data/map2.bmp
-148.0,70,559.061633,4,2,2,0,0,data/map1.bmp
-157.0,204,563.025155,6,4,0,0,0,data/map2.bmp
-148.0,156,565.769003,7,4,2,0,0,data/map2.bmp
-137.0,126,568.144057,32,2,2,0,0,data/map1.bmp
-151.0,74,570.403471,1,4,1,0,0,data/map1.bmp
-145.5,144,572.902825,6,4,1,0,0,data/map1.bmp
-145.5,100,574.929419,7,4,2,0,0,data/map2.bmp
-152.5,117,576.510753,6,4,2,0,0,data/map2.bmp
-149.5,151,579.83146,28,4,2,0,0,data/map1.bmp
-142.5,250,584.376422,45,4,2,0,0,data/map1.bmp
-143.0,73,585.341909,9,2,2,0,0,data/map1.bmp
-145.5,367,591.961614,46,2,2,0,0,data/map1.bmp
-130.5,73,593.596543,24,2,2,0,0,data/map1.bmp
-145.5,188,596.523907,10,4,0,0,0,data/map2.bmp
-172.5,973,613.88294,54,1,1,0,0,data/map1.bmp
-145.5,126,616.231106,7,4,0,0,0,data/map1.bmp
-149.5,397,623.414505,12,4,0,0,0,data/map2.bmp
-149,56,624.202956,1,4,2,0,0,data/map1.bmp
-151.5,306,630.994588,1,1,1,0,0,data/map1.bmp
-218.0,899,646.561215,20,1,1,0,0,data/map2.bmp
-150.0,233,650.369784,1,4,0,0,0,data/map1.bmp
-144.0,473,658.672004,22,2,1,0,0,data/map2.bmp
-159.5,589,669.407738,4,1,1,0,0,data/map1.bmp
-151.0,255,673.983668,2,1,1,0,0,data/map1.bmp
-152.0,198,677.263451,11,4,0,0,0,data/map2.bmp
-149.5,47,678.474602,1,2,2,0,0,data/map1.bmp
-152.0,189,681.710578,1,4,0,0,0,data/map1.bmp
-152.0,468,690.093387,12,2,1,0,0,data/map2.bmp
-151.0,204,693.440458,2,4,1,0,0,data/map1.bmp
-140.5,339,699.320352,12,1,1,0,0,data/map2.bmp
-140.5,367,705.798559,12,4,0,0,0,data/map2.bmp
